25,group1word6,group1word3,0.719557,0.946556,1470895190171485378
25,group1word6,group1word3,0.719732,0.946809,1470895190171525887
25,group1word6,group1word3,0.719905,0.947059,1470895190171557589
25,group1word6,group1word3,0.720078,0.947307,1470895190171598852
25,group1word6,group1word3,0.72025,0.947552,1470895190171646721
25,group1word6,group1word3,0.720421,0.947796,1470895190171678995
25,group1word6,group1word3,0.720591,0.948037,1470895190171717241
25,group1word6,group1word3,0.72076,0.948276,1470895190171748735
25,group1word6,group1word3,0.720928,0.948513,1470895190171789928
25,group1word6,group1word3,0.721096,0.948747,1470895190171837399
25,group1word6,group1word3,0.721262,0.94898,1470895190171885192
25,group1word6,group1word3,0.721428,0.94921,1470895190171920685
25,group1word6,group1word3,0.721592,0.949438,1470895190171951171
25,group1word6,group1word3,0.721756,0.949664,1470895190171992486
25,group1word6,group1word3,0.721919,0.949889,1470895190172039710
25,group1word6,group1word3,0.722081,0.950111,1470895190172087541
25,group1word6,group1word3,0.722242,0.950331,1470895190172135631
25,group1word6,group1word3,0.722403,0.950549,1470895190172183624
25,group1word6,group1word3,0.722562,0.950766,1470895190172231432
25,group1word6,group1word3,0.722721,0.95098,1470895190172264290
25,group1word6,group1word3,0.722879,0.951193,1470895190172305615
25,group1word6,group1word3,0.723036,0.951404,1470895190172352814
25,group1word6,group1word3,0.723192,0.951613,1470895190172400786
25,group1word6,group1word3,0.723348,0.95182,1470895190172448654
25,group1word6,group1word3,0.723502,0.952026,1470895190172480667
25,group1word6,group1word3,0.723656,0.952229,1470895190172521351
25,group1word6,group1word3,0.723809,0.952431,1470895190172568588
25,group1word6,group1word3,0.723962,0.952632,1470895190172601299
25,group1word6,group1word3,0.724113,0.95283,1470895190172641937
25,group1word6,group1word3,0.724264,0.953027,1470895190172689261
25,group1word6,group1word3,0.724415,0.953222,1470895190172736536
25,group1word6,group1word3,0.724564,0.953416,1470895190172784538
25,group1word6,group1word3,0.724713,0.953608,1470895190172817367
25,group1word6,group1word3,0.724861,0.953799,1470895190172857788
25,group1word6,group1word3,0.725008,0.953988,1470895190172890056
25,group1word6,group1word3,0.725155,0.954175,1470895190172930283
25,group1word6,group1word3,0.7253,0.954361,1470895190172962229
25,group1word6,group1word3,0.725446,0.954545,1470895190173002612
25,group1word6,group1word3,0.72559,0.954728,1470895190173034358
25,group1word6,group1word3,0.725734,0.95491,1470895190173074837
25,group1word6,group1word3,0.725877,0.95509,1470895190173121981
25,group1word6,group1word3,0.726019,0.955268,1470895190173170004
25,group1word6,group1word3,0.726161,0.955445,1470895190173202294
25,group1word6,group1word3,0.726302,0.955621,1470895190173242917
25,group1word6,group1word3,0.726443,0.955796,1470895190173274729
25,group1word6,group1word3,0.726583,0.955969,1470895190173315135
25,group1word6,group1word3,0.726722,0.95614,1470895190173363012
25,group1word6,group1word3,0.72686,0.956311,1470895190173409516
25,group1word6,group1word3,0.726998,0.95648,1470895190173441864
25,group1word6,group1word3,0.727136,0.956647,1470895190173480217
25,group1word6,group1word3,0.727272,0.956814,1470895190173512457
25,group1word6,group1word3,0.727408,0.956979,1470895190173552773
25,group1word6,group1word3,0.727544,0.957143,1470895190173584539
25,group1word6,group1word3,0.727679,0.957306,1470895190173625072
25,group1word6,group1word3,0.727813,0.957467,1470895190173656847
25,group1word6,group1word3,0.727947,0.957627,1470895190173692300
25,group1word6,group1word3,0.72808,0.957786,1470895190173738807
25,group1word6,group1word3,0.728212,0.957944,1470895190173771565
25,group1word6,group1word3,0.728344,0.958101,1470895190173809981
25,group1word6,group1word3,0.728476,0.958256,1470895190173841797
25,group1word6,group1word3,0.728606,0.958411,1470895190173882403
25,group1word6,group1word3,0.728737,0.958564,1470895190173913763
25,group1word6,group1word3,0.728866,0.958716,1470895190173954335
25,group1word6,group1word3,0.728995,0.958867,1470895190173986038
25,group1word6,group1word3,0.729124,0.959017,1470895190174026649
25,group1word6,group1word3,0.729252,0.959165,1470895190174058537
25,group1word6,group1word3,0.729379,0.959313,1470895190174099815
25,group1word6,group1word3,0.729506,0.95946,1470895190174146279
25,group1word6,group1word3,0.729633,0.959605,1470895190174179314
25,group1word6,group1word3,0.729759,0.95975,1470895190174216103
25,group1word6,group1word3,0.729884,0.959893,1470895190174248228
25,group1word6,group1word3,0.730009,0.960036,1470895190174288794
25,group1word6,group1word3,0.730133,0.960177,1470895190174320892
25,group1word6,group1word3,0.730257,0.960318,1470895190174361617
25,group1word6,group1word3,0.73038,0.960457,1470895190174408663
25,group1word6,group1word3,0.730503,0.960596,1470895190174457007
25,group1word6,group1word3,0.730625,0.960733,1470895190174490227
25,group1word6,group1word3,0.730747,0.96087,1470895190174527656
25,group1word6,group1word3,0.730868,0.961005,1470895190174559732
25,group1word6,group1word3,0.730989,0.96114,1470895190174600359
25,group1word6,group1word3,0.731109,0.961274,1470895190174632313
25,group1word6,group1word3,0.731229,0.961407,1470895190174672844
25,group1word6,group1word3,0.731348,0.961539,1470895190174720000
25,group1word6,group1word3,0.731467,0.96167,1470895190174752685
25,group1word6,group1word3,0.731586,0.9618,1470895190174793280
25,group1word6,group1word3,0.731703,0.961929,1470895190174825789
25,group1word6,group1word3,0.731821,0.962057,1470895190174887840
25,group1word6,group1word3,0.731938,0.962185,1470895190174940322
25,group1word6,group1word3,0.732054,0.962312,1470895190174973142
25,group1word6,group1word3,0.732171,0.962438,1470895190175009081
25,group1word6,group1word3,0.732286,0.962563,1470895190175056468
25,group1word6,group1word3,0.732401,0.962687,1470895190175101447
25,group1word6,group1word3,0.732516,0.96281,1470895190175147434
25,group1word6,group1word3,0.73263,0.962933,1470895190175181674
25,group1word6,group1word3,0.732744,0.963054,1470895190175240856
25,group1word6,group1word3,0.732858,0.963175,1470895190175283410
25,group1word6,group1word3,0.732971,0.963295,1470895190175314745
25,group1word6,group1word3,0.733083,0.963415,1470895190175353887
25,group1word6,group1word3,0.733195,0.963533,1470895190175396634
25,group1word6,group1word3,0.733307,0.963651,1470895190175441607
25,group1word6,group1word3,0.733418,0.963768,1470895190175484891
